Change ID,Target Table Type,Target Schema,Target Table,Target Column,Target Column Data Type,Stage DB Schema,Stage Table,Stage Column,Landing DB Schema,Landing Source Table,Landing Source Column,Source DB Schema,Source Table,Source Column,Source Data Type,Transformation,Comment,Package Name,Source Query,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,FirstDayOfMonthNUM,int,ERP_STG,CalendarDate,FirstDayOfMonthNUM,,,,,,CONVERT(char(8), CONVERT(DATETIME, CONVERT(DATE, DATEADD(DD, - (DATEPART(DD, @CurrentDate) - 1), @CurrentDate))), 112),First day of the month in YYYYMMDD format,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,LastDayOfMonth,Date,ERP_STG,CalendarDate,LastDayOfMonth,,,,,,CONVERT(DATETIME, CONVERT(DATE, DATEADD(DD, - (DATEPART(DD, (DATEADD(MM,1, @CurrentDate)))), DATEADD(MM,1, @CurrentDate)))),Last day of the month,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,LastDayOfMonthNUM,int,ERP_STG,CalendarDate,LastDayOfMonthNUM,,,,,,CONVERT(char(8), CONVERT(DATETIME, CONVERT(DATE, DATEADD(DD, - (DATEPART(DD, (DATEADD(MM,1, @CurrentDate)))), DATEADD(MM,1, @CurrentDate))), 112),Last day of the month in YYYYMMDD format,,,,,,,,
1,Dimension,Shared_SC,DimDate,FirstDayInQuarter,Date,ERP_STG,CalendarDate,FirstDayInQuarter,,,,,,DATEADD(QQ, DATEDIFF(QQ,0, @CurrentDate), 0),First day of the quarter,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,FirstDayInQuarterNUM,int,ERP_STG,CalendarDate,FirstDayInQuarterNUM,,,,,,CONVERT(char(8), DATEADD(QQ, DATEDIFF(QQ,0, @CurrentDate), 0), 112),First day of the quarter in YYYYMMDD format,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,LastDayInQuarter,Date,ERP_STG,CalendarDate,LastDayInQuarter,,,,,,DATEADD(QQ, DATEDIFF(QQ,-1, @CurrentDate), -1),Last day of the quarter,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,LastDayInQuarterNUM,int,ERP_STG,CalendarDate,LastDayInQuarterNUM,,,,,,CONVERT(char(8), DATEADD(QQ, DATEDIFF(QQ,-1, @CurrentDate), -1), 112),Last day of the quarter in YYYYMMDD format,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,FirstDayInYear,Date,ERP_STG,CalendarDate,FirstDayInYear,,,,,,CONVERT(DATETIME, '01/01/' + CONVERT(VARCHAR, DATEPART(YY, @CurrentDate))),First day of the year,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,FirstDayInYearNUM,int,ERP_STG,CalendarDate,FirstDayInYearNUM,,,,,,CONVERT(char(8), CONVERT(DATETIME, '01/01/' + CONVERT(VARCHAR, DATEPART(YY, @CurrentDate))), 112),First day of the year in YYYYMMDD format,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,LastDayInYear,Date,ERP_STG,CalendarDate,LastDayInYear,,,,,,CONVERT(DATETIME, '12/31/' + CONVERT(VARCHAR, DATEPART(YY, @CurrentDate))),Last day of the year,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,LastDayInYearNUM,int,ERP_STG,CalendarDate,LastDayInYearNUM,,,,,,CONVERT(char(8), CONVERT(DATETIME, '12/31/' + CONVERT(VARCHAR, DATEPART(YY, @CurrentDate))), 112),Last day of the year in YYYYMMDD format,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,IsWeekday,bit,ERP_STG,CalendarDate,IsWeekday,,,,,,CASE DATEPART(DW, @CurrentDate) WHEN 1 THEN 1 WHEN 2 THEN 1 WHEN 3 THEN 1 WHEN 4 THEN 1 WHEN 5 THEN 0 WHEN 6 THEN 0 WHEN 7 THEN 1 END,0=Weekend, 1=Weekday,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,DateHijiri,nvarchar(50),ERP_STG,CalendarDate,DateHijiri,,,,,,FORMAT(@CurrentDate, 'dd MMMM yyyy', 'ar-SA'),Date in Hijri format, e.g., dd MMMM yyyy in ar-SA,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,DateHjiriNum,nvarchar(50),ERP_STG,CalendarDate,DateHjiriNum,,,,,,FORMAT(@CurrentDate, 'dd/MM/yyyy', 'ar-SA'),Date in Hijri format, e.g., dd/MM/yyyy in ar-SA,,,,,,,,,,,,,,,
